Date,lag1,lag2,lag3,lag4,lag5,RSI,StdDev,Momentum,macd,atr,sar,candelstatus
2016.07.18,-0.00865,0.0028,0.0029,0.00034,0.00089,42.30508181,0.0033092,99.32301828,-0.0048703,0.00871429,1.12994256,1
2016.07.19,0.0027,-0.00865,0.0028,0.0029,0.00034,44.78435059,0.00246123,99.71817036,-0.00484344,0.00871071,1.12916631,0
2016.07.20,-0.00551,0.0027,-0.00865,0.0028,0.0029,40.93289008,0.00274426,99.0134239,-0.00483783,0.00812786,1.12840558,0
2016.07.21,-0.00064,-0.00551,0.0027,-0.00865,0.0028,40.49050668,0.00291298,98.74474361,-0.00482032,0.00800571,1.12766007,1
2016.07.22,0.00113,-0.00064,-0.00551,0.0027,-0.00865,41.67072609,0.00306891,99.54940719,-0.00477206,0.00817714,1.12692947,0
2016.07.25,-0.00493,0.00113,-0.00064,-0.00551,0.0027,37.9743177,0.00401084,98.86118944,-0.00475369,0.007625,1.12621348,1
2016.07.26,0.00216,-0.00493,0.00113,-0.00064,-0.00551,40.34244769,0.00433597,99.40147371,-0.00474319,0.00740357,1.12551181,0
2016.07.27,-0.00084,0.00216,-0.00493,0.00113,-0.00064,39.70169094,0.00459862,99.44330793,-0.00477194,0.00775857,1.12482417,1
2016.07.28,0.00717,-0.00084,0.00216,-0.00493,0.00113,47.38371523,0.00418547,100.0126626,-0.00479255,0.00739643,1.12415029,1
2016.07.29,0.00178,0.00717,-0.00084,0.00216,-0.00493,49.09800236,0.00362892,100.139243,-0.00472962,0.00786571,1.12348989,1
2016.08.01,0.00971,0.00178,0.00717,-0.00084,0.00216,57.29635562,0.00602617,100.7476147,-0.00454062,0.00754071,1.12284269,0
2016.08.02,-0.00111,0.00971,0.00178,0.00717,-0.00084,56.16337771,0.00736266,100.3912997,-0.00421608,0.007525,1.09113,1
2016.08.03,0.00611,-0.00111,0.00971,0.00178,0.00717,60.71924216,0.00913636,101.5722872,-0.00372923,0.00758143,1.0917736,0
2016.08.04,-0.00724,0.00611,-0.00111,0.00971,0.00178,53.55578779,0.00900777,100.6654808,-0.00319539,0.00697143,1.09240433,0
2016.08.05,-0.00213,-0.00724,0.00611,-0.00111,0.00971,51.65620484,0.00863575,100.9773495,-0.00260387,0.00741571,1.09302244,0
2016.08.08,-0.00424,-0.00213,-0.00724,0.00611,-0.00111,47.62157509,0.00734944,100.6119984,-0.00203435,0.007075,1.09362819,1
2016.08.09,0.0007,-0.00424,-0.00213,-0.00724,0.00611,48.2631817,0.00644631,100.5714597,-0.001475,0.00709929,1.09422183,1
2016.08.10,0.00286,0.0007,-0.00424,-0.00213,-0.00724,50.92763036,0.00516535,101.3022993,-0.00096836,0.00708857,1.09480359,1
2016.08.11,0.00592,0.00286,0.0007,-0.00424,-0.00213,55.99756862,0.00481372,101.6417598,-0.00047211,0.00687857,1.09537372,0
2016.08.12,-0.00379,0.00592,0.00286,0.0007,-0.00424,52.26226628,0.00449037,101.3744891,-0.0001086,0.00718857,1.09593245,1
2016.08.15,0.00247,-0.00379,0.00592,0.00286,0.0007,54.80637512,0.00415817,100.9857474,0.00018303,0.00718,1.09648,1
2016.08.16,0.0016,0.00247,-0.00379,0.00592,0.00286,56.14535728,0.00417728,100.9679283,0.00037495,0.00747143,1.0970166,1
2016.08.17,0.00953,0.0016,0.00247,-0.00379,0.00592,63.19814935,0.005577,100.9470528,0.00063529,0.00752714,1.09842353,1
2016.08.18,0.00105,0.00953,0.0016,0.00247,-0.00379,63.93531342,0.00718949,101.1487146,0.0009749,0.00721143,1.09977419,1
2016.08.19,0.00641,0.00105,0.00953,0.0016,0.00247,67.89849998,0.00922315,101.1700962,0.00147105,0.007405,1.10198194,0
2016.08.22,-0.00312,0.00641,0.00105,0.00953,0.0016,62.79718803,0.008951,101.4369775,0.00203906,0.00729,1.10405722,1
2016.08.23,0.00112,-0.00312,0.00641,0.00105,0.00953,63.53479507,0.00829975,101.728182,0.00264149,0.00704714,1.10600799,0
2016.08.24,-0.00146,0.00112,-0.00312,0.00641,0.00105,61.71396946,0.00739319,102.0206669,0.00319825,0.00721929,1.10784171,0
2016.08.25,-0.00413,-0.00146,0.00112,-0.00312,0.00641,56.92846597,0.00689059,101.5837798,0.00370978,0.00666643,1.10956541,1
2016.08.26,0.00205,-0.00413,-0.00146,0.00112,-0.00312,58.52631056,0.00563684,101.4960687,0.00417064,0.00757643,1.11118568,0
2016.08.29,-0.00872,0.00205,-0.00413,-0.00146,0.00112,47.99530669,0.00599321,100.0214769,0.00447958,0.00756071,1.11270874,1
2016.08.30,0.00108,-0.00872,0.00205,-0.00413,-0.00146,49.0125271,0.00651993,100.458835,0.00459143,0.00742929,1.13657,0
2016.08.31,-0.00453,0.00108,-0.00872,0.00205,-0.00413,45.01744515,0.00784946,99.78417782,0.00449733,0.00733143,1.1361018,1
2016.09.01,0.00144,-0.00453,0.00108,-0.00872,0.00205,46.48355819,0.0083104,99.77017456,0.00419871,0.00724071,1.13514813,1
2016.09.02,0.00393,0.00144,-0.00453,0.00108,-0.00872,50.40506492,0.00705126,99.27730929,0.00381692,0.00760929,1.1342326,0
2016.09.05,-0.00422,0.00393,0.00144,-0.00453,0.00108,46.64855331,0.00669853,98.82535324,0.00332921,0.00687786,1.1333537,0
2016.09.06,-0.00095,-0.00422,0.00393,0.00144,-0.00453,45.78288141,0.00583362,98.18455684,0.0027692,0.00721071,1.13250995,1
2016.09.07,0.01081,-0.00095,-0.00422,0.00393,0.00144,55.90715453,0.00493468,99.52160303,0.00229135,0.00693714,1.13169995,0
2016.09.08,-0.00156,0.01081,-0.00095,-0.00422,0.00393,54.28972282,0.00481971,99.28354359,0.00185222,0.00720071,1.11226,1
2016.09.09,0.00208,-0.00156,0.01081,-0.00095,-0.00422,56.06083241,0.00491567,99.60015569,0.00155974,0.00739286,1.1126678,0
2016.09.12,-0.00276,0.00208,-0.00156,0.01081,-0.00095,53.3609598,0.00492624,99.74340762,0.00135367,0.00743286,1.11306744,1
2016.09.13,0.00005,-0.00276,0.00208,-0.00156,0.01081,53.39947618,0.00495138,99.57809273,0.00125834,0.00736143,1.1134591,0
2016.09.14,-0.00164,0.00005,-0.00276,0.00208,-0.00156,51.74281714,0.00424653,100.3838171,0.00122551,0.00754071,1.11384291,1
2016.09.15,0.00282,-0.00164,0.00005,-0.00276,0.00208,54.70631804,0.00387346,100.5389703,0.00123235,0.00685786,1.11421905,0
2016.09.16,-0.00049,0.00282,-0.00164,0.00005,-0.00276,53.98467239,0.00381722,100.8983621,0.00130052,0.00721929,1.11458767,0
2016.09.19,-0.0092,-0.00049,0.00282,-0.00164,0.00005,44.13906517,0.00388829,99.96773239,0.00134495,0.00712643,1.11491,1
2016.09.20,0.00202,-0.0092,-0.00049,0.00282,-0.00164,46.51019883,0.00377874,99.79903178,0.00129247,0.00727857,1.11491,0
2016.09.21,-0.00235,0.00202,-0.0092,-0.00049,0.00282,44.16167716,0.00426379,99.94532041,0.001158,0.00725,1.13265,1
2016.09.22,0.00371,-0.00235,0.00202,-0.0092,-0.00049,48.57636387,0.00413872,100.3624456,0.00097536,0.00703929,1.1322418,1
2016.09.23,0.00205,0.00371,-0.00235,0.00202,-0.0092,50.88698507,0.00358478,99.58150073,0.00079749,0.00706929,1.13184176,1
2016.09.26,0.00161,0.00205,0.00371,-0.00235,0.00202,52.74958215,0.00344155,99.87186902,0.00063983,0.00661714,1.13144973,1
2016.09.27,0.00288,0.00161,0.00205,0.00371,-0.00235,55.85863954,0.00368559,99.94404576,0.00053809,0.00679929,1.13106553,0
2016.09.28,-0.00386,0.00288,0.00161,0.00205,0.00371,50.97932349,0.00368434,99.82108046,0.00042184,0.00653071,1.13068902,1
2016.09.29,0.00029,-0.00386,0.00288,0.00161,0.00205,51.32070965,0.00353102,99.84333971,0.00030317,0.00629071,1.13032004,1
